Title,Production,Genre,Image
The Godfather,Paramount Pictures,Drama,https://i.imgur.com/uz8s12b.jpg
365 Days,Ekipa,Drama,https://i.imgur.com/o725sFP.jpg
The Batman,Warner Bros,Action,https://i.imgur.com/WaWFPxz.jpg
The Bad Guys,Universal Pictures,Comedy,https://i.imgur.com/wgPOFMG.jpg
Bullet Train,87North,Action,https://i.imgur.com/lD2e4dT.jpg
Nope,Universal Pictures,Mystery,https://i.imgur.com/qc0OBsO.jpg
Independence Day,Centropolis Entertainment,Sci-Fi,https://i.imgur.com/Adt7MEy.jpg
Jurassic Park,Universal Pictures,Sci-Fi,https://i.imgur.com/h6C4bet.jpg
Thor: Ragnarok,Marvel Studios,Action,https://i.imgur.com/js1AA31.jpg
The Lost City,Paramount Pictures,Adventure,https://i.imgur.com/GqC7eXO.jpg
Jaws,Universal Pictures,Thriller,https://i.imgur.com/jW13DQN.jpg
Avengers: Endgame,marvel Studios,Adventure,https://i.imgur.com/Q0h4fgF.jpg
Minions,Universal Pictures,Comedy,https://i.imgur.com/MDPIy5K.jpg
X,A24,Horror,https://i.imgur.com/Kp6amlk.jpg
Watcher,Lost City,Drama,https://i.imgur.com/ZCwluDP.jpg
The Mist,Dimension Films,Sci-Fi,https://i.imgur.com/dPQ1eRb.jpg
Uncharted,Columbia Pictures,Action,https://i.imgur.com/VcmEDym.jpg
Sing 2,Universal Pictures,Comedy,https://i.imgur.com/5yD6ZJZ.jpg
Hot Seat,Buffalo 8 Productions,Thriller,https://i.imgur.com/KrKjwOm.jpg
The Northman,Universal Pictures,Action,https://i.imgur.com/Kn1jDDk.jpg
Dune,Warner Bros,Adventure,https://i.imgur.com/1rG6udR.jpg
Old School,Dreamworks Pictures,Comedy,https://i.imgur.com/jIOEF7p.jpg
Spiderhead,Grand Electric,Action,https://i.imgur.com/t5KWma0.jpg
The Woman King,Entertainment One,History,https://i.imgur.com/iU83UV7.jpg
Pleasure,Plattform Produktion,Drama,https://i.imgur.com/QFUtHsN.jpg
Morbius,Columbia Pictures,Action,https://i.imgur.com/fjzfbg7.jpg
Clerks III,Bondlt Media Capital,Comedy,https://i.imgur.com/kqnH8dS.jpg
Hellboy,Millennium Films,Fantasy,https://i.imgur.com/tKSRoOE.jpg
Amsterdam,20th Century Studios,Drama,https://i.imgur.com/P0ApF2K.jpg
The Sea Beast,Netflix,Adventure,https://i.imgur.com/G74PwX1.jpg
RRR,DVV Entertainment,Action,https://i.imgur.com/ZEuRsf6.jpg
Thor,Marvel Studios,Fantasy,https://i.imgur.com/56meHUr.jpg
The Princess,20th Century Studios,Action,https://i.imgur.com/uOqLQYk.jpg
Jurassic World Dominion,Latina Pictures,Action,https://i.imgur.com/J7Rt7Zr.jpg
Top Gun: Maverick,Paramount Pictures,Action,https://i.imgur.com/fIRFogp.jpg
The Black Phone,Universal Pictures,Horror,https://i.imgur.com/cJF9NCa.jpg
Goodfellas,Warner Bros,Drama,https://i.imgur.com/SkVht7z.jpg
Hustle,Roth Films,Comedy,https://i.imgur.com/RX5C505.jpg
Coco,Pixar Animation Studios,Family/Adventure,https://i.imgur.com/4PNkHWP.jpg
Thor: Love and Thunder,Marvel Studios,Action,https://i.imgur.com/7lu2b7I.jpg
Lightyear,Pixar,Adventure,https://i.imgur.com/B9ErwcR.jpg
Major,Adivi Entertainment,Drama,https://i.imgur.com/FtG3Zro.jpg
Elvis,Bazmark Films,Drama,https://i.imgur.com/HsfCzfH.jpg
Eternals,Marvel Studios,Fantasy,https://i.imgur.com/cLaMD7J.jpg
The Man from Toronto,Netflix,Action,https://i.imgur.com/GjANMMr.jpg
Minions: The Rise of Gru,Universal Pictures,Comedy,https://i.imgur.com/Myr0wGM.jpg
It,Vertigo Entertainment,Horror,https://i.imgur.com/oB5N2hH.jpg
Men,DNA Films,Drama,https://i.imgur.com/1UTHbtB.jpg
Last Night in Soho,Film4,Drama,https://i.imgur.com/CcWUcKt.jpg
Top Gun,Paramount Pictures,Action,https://i.imgur.com/zp1NWJK.jpg
